BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
BB@B                                                                          BB
BB B                                                                          BB
BB B                                                                          BB
BB B                               *B                                         BB
BB B                          a    *B                                         BB
BB B                     >>>IIIIIIIIB                                         BB
BB B                     B                                                    BB
BB B                     B                                                    BB
BB B                     B                                                    BB
BB B                 BBBBB                             PB                     BB
BB B                                      <    >     BBBB                     BB
BB B >>>>                           ~~                                        BB
BB B                           ~~                                             BB
BB B                    ~~~                                                   BB
BB B              ~~~                                                         BB
BB BBBB  BBBB                                                                 BB
BB         *B~~~~~                                                            BB
BB>>>>>>>>>*B                                                                 BB
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
 
